ticker,name,is_etf,exchange
"VHC","VirnetX Holding Corp","null","AMEX"
"VKI","Invesco Advantage Municipal Income Trust II","null","AMEX"
"VMM","Delaware Investments Minnesota Municipal Income Fund II, Inc.","null","AMEX"
"VNRX","VolitionRX Limited","null","AMEX"
"VOLT","Volt Information Sciences, Inc.","null","AMEX"
"WRN","Western Copper and Gold Corporation","null","AMEX"
"WTT","Wireless Telecom Group,  Inc.","null","AMEX"
"WYY","WidePoint Corporation","null","AMEX"
"XPL","Solitario Zinc Corp.","null","AMEX"
"XTNT","Xtant Medical Holdings, Inc.","null","AMEX"
"XXII","22nd Century Group, Inc","null","AMEX"
"YCBD","cbdMD, Inc.","null","AMEX"
"YUMA","Yuma Energy, Inc.","null","AMEX"
"ZDGE","Zedge, Inc.","null","AMEX"
"ZOM","Zomedica Pharmaceuticals Corp.","null","AMEX"
